app_id,market_hash_name,market_bucket_id
730,Sticker | Natus Vincere (Glitter) | Paris 2023,18B90930046205080010D533
730,Sealed Graffiti | Heart (Bazooka Pink),18C40A30046205080010B80D
730,Sticker | Boom Trail,18B90930046205080010D73D
730,Budapest 2025 Contenders Autograph Capsule,18F0283004
730,Austin 2025 Legends Sticker Capsule,18FD273004
730,Sticker | OG (Glitter) | Paris 2023,18B90930046205080010FD33
730,"Music Kit | Rad Cat, Reason",18A20A300488014B
730,Antwerp 2022 Challengers Sticker Capsule,18E1253004
730,Sticker | Natus Vincere | Paris 2023,18B90930046205080010D433
730,Sticker | Taste Bud,18B90930046205080010E83D
730,Sticker | Rainbow Route (Holo),18B90930046205080010D83D
730,"Music Kit | Juelz, Floorspace",18A20A300488015C
730,Sticker | MOUZ (Glitter) | Paris 2023,18B90930046205080010A134
730,Sticker | The MongolZ (Holo) | Paris 2023,18B90930046205080010AE34
730,Sticker | Vitality (Glitter) | Paris 2023,18B90930046205080010DD33
730,Sticker | Falcons | Budapest 2025,18B90930046205080010994A
730,Sticker | Bolt Strike,18B90930046205080010CA3D
730,Antwerp 2022 Contenders Autograph Capsule,18EC253004
730,Sticker | Team Spirit | Copenhagen 2024,18B90930046205080010E638
730,Sticker | WARNING,18B90930046205080010CC57
730,Sticker | Spirit | 2020 RMR,18B909300462050800108925
730,Sticker | Froggles (Holo),18B90930046205080010FE49
730,Sticker | OG (Holo) | 2020 RMR,18B90930046205080010FA24
730,Sticker | paiN Gaming (Glitter) | Paris 2023,18B909300462050800108134
730,Sticker | Scorch Loop (Reverse),18B90930046205080010CF3D
730,Antwerp 2022 Contenders Sticker Capsule,18E2253004
730,Patch | Hydra,18812430046205080010D623
730,Budapest 2025 Challengers Autograph Capsule,18EF283004
730,"Sticker | kyxsan (Foil, Ranked) | Cologne 2026",18B90930046205080010E758
730,"Music Kit | 3kliksphilip, Heading for the Source",18A20A300488013E
730,Sticker | Ivette,18B90930046205080010C207
730,Sealed Graffiti | Chabo,18C40A30046205080010F60C
730,Sticker | Boom (Foil) | 2020 RMR,18B90930046205080010B325
730,Sticker | FaZe | 2020 RMR,18B909300462050800108125
730,Sticker | Baby Medusa,18B909300462050800108E2E
730,Souvenir Charm | Austin 2025 Highlight | Cover Fire,18CB0A300CA2010408001024
730,"Music Kit | Juelz, Shooters",18A20A3004880140
730,"Music Kit | Humanity's Last Breath, Void",18A20A300488013F
730,2020 RMR Challengers,1888253004
730,"Sticker | saadzin (Foil, Ranked) | Cologne 2026",18B90930046205080010835A
730,Souvenir Charm | Austin 2025 Highlight | Quad Kill And A Clutch,18CB0A300CA2010408001024
730,Sticker | Heroic (Glitter) | Paris 2023,18B90930046205080010E133
730,Sticker | Liazz (Glitter) | Antwerp 2022,18B90930046205080010C12D
730,2020 RMR Legends,1887253004
730,Sticker | Jackass,18B90930046205080010C657
730,Sticker | Co Co Co,18B90930046205080010942E
730,Sticker | Cloud9 | Copenhagen 2024,18B90930046205080010F638
730,Sealed Graffiti | Worry (Shark White),18C40A30046205080010AD0D
730,Sticker | Safety First (Holo),18B90930046205080010F750
